pair,model_1,model_2,wins_model_1,wins_model_2,ties,invalid,total_scored,win_rate_model_1,effective_win_rate_model_1,net_margin_model_1,tie_rate,ci95_low,ci95_high
full_ft__vs__base,full_ft,base,10,14,1,0,25,0.4,0.4166666666666667,-0.16,0.04,0.22,0.6
full_ft__vs__phi_2,full_ft,phi_2,7,16,2,0,25,0.28,0.30434782608695654,-0.36,0.08,0.16,0.5
full_ft__vs__qwen_1.8b,full_ft,qwen_1.8b,9,14,2,0,25,0.36,0.391304347826087,-0.2,0.08,0.22,0.58
lora_ft__vs__base,lora_ft,base,11,12,2,0,25,0.44,0.4782608695652174,-0.04,0.08,0.28,0.68
lora_ft__vs__phi_2,lora_ft,phi_2,5,19,1,0,25,0.2,0.20833333333333334,-0.56,0.04,0.08,0.38
lora_ft__vs__qwen_1.8b,lora_ft,qwen_1.8b,8,17,0,0,25,0.32,0.32,-0.36,0.0,0.16,0.52
qlora_ft__vs__base,qlora_ft,base,15,10,0,0,25,0.6,0.6,0.2,0.0,0.4,0.8
qlora_ft__vs__phi_2,qlora_ft,phi_2,10,15,0,0,25,0.4,0.4,-0.2,0.0,0.2,0.6
qlora_ft__vs__qwen_1.8b,qlora_ft,qwen_1.8b,9,14,2,0,25,0.36,0.391304347826087,-0.2,0.08,0.22,0.58
