model,wins,losses,ties,matches,win_rate,effective_win_rate
phi_2,79.0,52.0,19.0,150.0,0.5266666666666666,0.6030534351145038
qwen_1.8b,83.0,57.0,10.0,150.0,0.5533333333333333,0.5928571428571429
base,73.0,58.0,19.0,150.0,0.4866666666666667,0.5572519083969466
lora_ft,63.0,66.0,21.0,150.0,0.42,0.4883720930232558
full_ft,54.0,87.0,9.0,150.0,0.36,0.3829787234042553
qlora_ft,50.0,82.0,18.0,150.0,0.3333333333333333,0.3787878787878788
