model,wins,losses,ties,matches,win_rate,effective_win_rate,net_margin
phi_2,91.0,55.0,4.0,150.0,0.6066666666666667,0.6232876712328768,0.24
qwen_1.8b,88.0,56.0,6.0,150.0,0.5866666666666667,0.6111111111111112,0.21333333333333335
base,84.0,61.0,5.0,150.0,0.56,0.5793103448275863,0.15333333333333332
full_ft,61.0,85.0,4.0,150.0,0.4066666666666667,0.4178082191780822,-0.16
qlora_ft,58.0,87.0,5.0,150.0,0.38666666666666666,0.4,-0.19333333333333333
lora_ft,53.0,91.0,6.0,150.0,0.35333333333333333,0.3680555555555556,-0.25333333333333335
