model,wins,losses,ties,matches,win_rate,effective_win_rate
phi_2,11.0,0.0,19.0,30.0,0.36666666666666664,1.0
qwen_1.8b,19.0,0.0,11.0,30.0,0.6333333333333333,1.0
base,11.0,6.0,13.0,30.0,0.36666666666666664,0.6470588235294118
qlora_ft,2.0,12.0,16.0,30.0,0.06666666666666667,0.14285714285714285
lora_ft,2.0,14.0,14.0,30.0,0.06666666666666667,0.125
full_ft,2.0,15.0,13.0,30.0,0.06666666666666667,0.11764705882352941
