pair,model_1,model_2,wins_model_1,wins_model_2,ties,invalid,total_scored,win_rate_model_1,effective_win_rate_model_1,tie_rate,ci95_low,ci95_high
full_ft__vs__base,full_ft,base,2,4,4,0,10,0.2,0.3333333333333333,0.4,0.2,0.65
full_ft__vs__phi_2,full_ft,phi_2,0,4,6,0,10,0.0,0.0,0.6,0.15,0.45
full_ft__vs__qwen_1.8b,full_ft,qwen_1.8b,0,7,3,0,10,0.0,0.0,0.3,0.0,0.3
lora_ft__vs__base,lora_ft,base,2,4,4,0,10,0.2,0.3333333333333333,0.4,0.2,0.6
lora_ft__vs__phi_2,lora_ft,phi_2,0,4,6,0,10,0.0,0.0,0.6,0.15,0.45
lora_ft__vs__qwen_1.8b,lora_ft,qwen_1.8b,0,6,4,0,10,0.0,0.0,0.4,0.05,0.35
qlora_ft__vs__base,qlora_ft,base,2,3,5,0,10,0.2,0.4,0.5,0.25,0.65
qlora_ft__vs__phi_2,qlora_ft,phi_2,0,3,7,0,10,0.0,0.0,0.7,0.2,0.5
qlora_ft__vs__qwen_1.8b,qlora_ft,qwen_1.8b,0,6,4,0,10,0.0,0.0,0.4,0.05,0.35
