pair,model_1,model_2,wins_model_1,wins_model_2,ties,invalid,total_scored,win_rate_model_1,effective_win_rate_model_1,tie_rate,ci95_low,ci95_high
full_ft__vs__base,full_ft,base,115,262,123,0,500,0.23,0.3050397877984085,0.246,0.318,0.386
full_ft__vs__phi_2,full_ft,phi_2,50,240,210,0,500,0.1,0.1724137931034483,0.42,0.282,0.339
full_ft__vs__qwen_1.8b,full_ft,qwen_1.8b,102,309,88,1,499,0.20440881763527055,0.24817518248175183,0.17635270541082165,0.2575150300601202,0.32665330661322645
lora_ft__vs__base,lora_ft,base,114,260,126,0,500,0.228,0.3048128342245989,0.252,0.319,0.389
lora_ft__vs__phi_2,lora_ft,phi_2,59,225,216,0,500,0.118,0.20774647887323944,0.432,0.304,0.362
lora_ft__vs__qwen_1.8b,lora_ft,qwen_1.8b,92,300,108,0,500,0.184,0.23469387755102042,0.216,0.259,0.327
qlora_ft__vs__base,qlora_ft,base,119,257,124,0,500,0.238,0.31648936170212766,0.248,0.327,0.399
qlora_ft__vs__phi_2,qlora_ft,phi_2,57,241,202,0,500,0.114,0.1912751677852349,0.404,0.285,0.346
qlora_ft__vs__qwen_1.8b,qlora_ft,qwen_1.8b,98,301,101,0,500,0.196,0.24561403508771928,0.202,0.26,0.333
