model,wins,losses,ties,matches,win_rate,effective_win_rate
phi_2,706.0,166.0,628.0,1500.0,0.4706666666666667,0.8096330275229358
qwen_1.8b,910.0,292.0,297.0,1499.0,0.6070713809206137,0.757071547420965
base,779.0,348.0,373.0,1500.0,0.5193333333333333,0.6912156166814551
qlora_ft,274.0,799.0,427.0,1500.0,0.18266666666666667,0.255358807082945
lora_ft,265.0,785.0,450.0,1500.0,0.17666666666666667,0.2523809523809524
full_ft,267.0,811.0,421.0,1499.0,0.1781187458305537,0.24768089053803338
