model,wins,losses,ties,matches,win_rate,effective_win_rate
phi_2,27.0,2.0,46.0,75.0,0.36,0.9310344827586207
qwen_1.8b,42.0,12.0,21.0,75.0,0.56,0.7777777777777778
base,27.0,18.0,30.0,75.0,0.36,0.6
full_ft,12.0,33.0,30.0,75.0,0.16,0.26666666666666666
lora_ft,10.0,31.0,34.0,75.0,0.13333333333333333,0.24390243902439024
qlora_ft,10.0,32.0,33.0,75.0,0.13333333333333333,0.23809523809523808
