model,wins,losses,ties,matches,win_rate,effective_win_rate
phi_2,80.0,69.0,0.0,149.0,0.5369127516778524,0.5369127516778524
qlora_ft,77.0,73.0,0.0,150.0,0.5133333333333333,0.5133333333333333
lora_ft,76.0,74.0,0.0,150.0,0.5066666666666667,0.5066666666666667
full_ft,73.0,76.0,0.0,149.0,0.4899328859060403,0.4899328859060403
base,73.0,77.0,0.0,150.0,0.4866666666666667,0.4866666666666667
qwen_1.8b,70.0,80.0,0.0,150.0,0.4666666666666667,0.4666666666666667
