pair,model_1,model_2,wins_model_1,wins_model_2,ties,invalid,total_scored,win_rate_model_1,effective_win_rate_model_1,net_margin_model_1,tie_rate,ci95_low,ci95_high
full_ft__vs__base,full_ft,base,8,12,4,1,24,0.3333333333333333,0.4,-0.16666666666666666,0.16666666666666666,0.25,0.5833333333333334
full_ft__vs__phi_2,full_ft,phi_2,7,15,3,0,25,0.28,0.3181818181818182,-0.32,0.12,0.16,0.52
full_ft__vs__qwen_1.8b,full_ft,qwen_1.8b,6,14,3,2,23,0.2608695652173913,0.3,-0.34782608695652173,0.13043478260869565,0.15217391304347827,0.5
lora_ft__vs__base,lora_ft,base,8,11,3,3,22,0.36363636363636365,0.42105263157894735,-0.13636363636363635,0.13636363636363635,0.25,0.6136363636363636
lora_ft__vs__phi_2,lora_ft,phi_2,11,14,0,0,25,0.44,0.44,-0.12,0.0,0.24,0.64
lora_ft__vs__qwen_1.8b,lora_ft,qwen_1.8b,11,10,2,2,23,0.4782608695652174,0.5238095238095238,0.043478260869565216,0.08695652173913043,0.32608695652173914,0.717391304347826
qlora_ft__vs__base,qlora_ft,base,10,9,4,2,23,0.43478260869565216,0.5263157894736842,0.043478260869565216,0.17391304347826086,0.34782608695652173,0.6956521739130435
qlora_ft__vs__phi_2,qlora_ft,phi_2,8,13,3,1,24,0.3333333333333333,0.38095238095238093,-0.20833333333333334,0.125,0.22916666666666666,0.5625
qlora_ft__vs__qwen_1.8b,qlora_ft,qwen_1.8b,6,14,3,2,23,0.2608695652173913,0.3,-0.34782608695652173,0.13043478260869565,0.15217391304347827,0.5
