model,wins,losses,ties,matches,win_rate,effective_win_rate,net_margin
qwen_1.8b,38.0,23.0,8.0,69.0,0.5507246376811594,0.6229508196721312,0.21739130434782608
phi_2,42.0,26.0,6.0,74.0,0.5675675675675675,0.6176470588235294,0.21621621621621623
base,32.0,26.0,11.0,69.0,0.463768115942029,0.5517241379310345,0.08695652173913043
lora_ft,30.0,35.0,5.0,70.0,0.42857142857142855,0.46153846153846156,-0.07142857142857142
qlora_ft,24.0,36.0,10.0,70.0,0.34285714285714286,0.4,-0.17142857142857143
full_ft,21.0,41.0,10.0,72.0,0.2916666666666667,0.3387096774193548,-0.2777777777777778
