pair,model_1,model_2,wins_model_1,wins_model_2,ties,invalid,total_scored,win_rate_model_1,effective_win_rate_model_1,net_margin_model_1,tie_rate,ci95_low,ci95_high
full_ft__vs__base,full_ft,base,13,11,1,75,25,0.52,0.5416666666666666,0.08,0.04,0.34,0.72
full_ft__vs__phi_2,full_ft,phi_2,22,7,3,68,32,0.6875,0.7586206896551724,0.46875,0.09375,0.578125,0.875
full_ft__vs__qwen_1.8b,full_ft,qwen_1.8b,10,7,1,82,18,0.5555555555555556,0.5882352941176471,0.16666666666666666,0.05555555555555555,0.3611111111111111,0.7777777777777778
lora_ft__vs__base,lora_ft,base,12,11,3,74,26,0.46153846153846156,0.5217391304347826,0.038461538461538464,0.11538461538461539,0.34615384615384615,0.6923076923076923
lora_ft__vs__phi_2,lora_ft,phi_2,22,8,4,66,34,0.6470588235294118,0.7333333333333333,0.4117647058823529,0.11764705882352941,0.5588235294117647,0.8529411764705882
lora_ft__vs__qwen_1.8b,lora_ft,qwen_1.8b,10,12,2,76,24,0.4166666666666667,0.45454545454545453,-0.08333333333333333,0.08333333333333333,0.2708333333333333,0.6666666666666666
qlora_ft__vs__base,qlora_ft,base,15,13,1,71,29,0.5172413793103449,0.5357142857142857,0.06896551724137931,0.034482758620689655,0.3448275862068966,0.7068965517241379
qlora_ft__vs__phi_2,qlora_ft,phi_2,21,9,3,67,33,0.6363636363636364,0.7,0.36363636363636365,0.09090909090909091,0.5151515151515151,0.8333333333333334
qlora_ft__vs__qwen_1.8b,qlora_ft,qwen_1.8b,15,12,1,72,28,0.5357142857142857,0.5555555555555556,0.10714285714285714,0.03571428571428571,0.375,0.7142857142857143
