model,wins,losses,ties,matches,win_rate,effective_win_rate,net_margin
full_ft,45.0,25.0,5.0,75.0,0.6,0.6428571428571429,0.26666666666666666
qlora_ft,51.0,34.0,5.0,90.0,0.5666666666666667,0.6,0.18888888888888888
lora_ft,44.0,31.0,9.0,84.0,0.5238095238095238,0.5866666666666667,0.15476190476190477
qwen_1.8b,31.0,35.0,4.0,70.0,0.44285714285714284,0.4696969696969697,-0.05714285714285714
base,35.0,40.0,5.0,80.0,0.4375,0.4666666666666667,-0.0625
phi_2,24.0,65.0,10.0,99.0,0.24242424242424243,0.2696629213483146,-0.41414141414141414
